charge,smiles,b,s,o,n,homo,lumo,gap,sheafHOMO,sheafLUMO,sheafGAP,electrons
0,[H]B1C([H])=C([H])B([H])c2c1c([H])c([H])c1c([H])bc3c4c(c5c([H])c([H])c6bc([H])c([H])bc6c5c3c21)C([H])=C4[H],5,0,0,0,-6.0758,-1.5816,4.4942,1.6466,1.8423,0.19569999999999999,23.0
0,[H]B1c2bc([H])c([H])c([H])c2-c2c1c1bc3bc([H])c([H])c([H])c3bc1c1c([H])c([H])c([H])c([H])c21,5,0,0,0,-5.5006,-1.6249,3.8757,1.4635,1.6664,0.20290000000000008,20.0
0,[H]c1c([H])c([H])c2bc3c([H])c4c([H])c5c([H])c6c([H])c7c([H])c8c([H])c9c([H])c([H])c([H])c([H])c9c([H])c8c([H])c7c([H])c6c([H])c5c([H])c4c([H])c3bc2c1[H],2,0,0,0,-4.5373,-2.6177,1.9196,1.8348,1.9418,0.10699999999999998,36.0
0,[H]B1C2=C(c3c1c([H])c1bc([H])c4c([H])c([H])c5c(c4c1c3[H])B([H])C([H])=C([H])B5[H])c1c2c2c([H])c([H])c([H])c([H])c2c2c([H])c([H])c([H])c([H])c12,4,0,0,0,-6.296,-2.2937,4.0023,1.8132,2.0064,0.19320000000000026,31.0
0,[H]C1=c2c([H])c3c([H])c4c5c([H])c6c([H])c([H])c7c([H])c([H])c([H])c([H])c7c6bc5c5c([H])c([H])c([H])c([H])c5c4c([H])c3c([H])c2=C1[H],1,0,0,0,-6.391,-0.7358,5.6552,2.2215,2.5789,0.35740000000000016,31.0
0,[H]c1bc2bc3bc([H])c4c([H])c5c(c([H])c([H])c6c([H])c7bc8c([H])c([H])c([H])c([H])c8bc7c([H])c65)c([H])c4c3bc2bc1[H],7,0,0,0,-5.2139,-1.5153,3.6986,1.645,1.6776,0.03259999999999996,27.0
0,[H]B1c2c(c([H])c3c(c2[H])=c2c([H])c([H])c([H])c([H])c2=3)B([H])c2c1c1bc([H])c([H])bc1c1c([H])c3c(c([H])c21)=C([H])C=3[H],4,0,0,0,-5.9143,-2.052,3.8623,1.6555,2.1186,0.46309999999999985,26.0
0,[H]B1C2=C(B([H])c3bc4c([H])c5bc([H])c([H])bc5c([H])c4bc31)B([H])c1bc3c([H])c4c5c(c([H])c([H])c4c([H])c3bc1B2[H])B([H])C([H])=C5[H],11,0,0,0,-6.1005,-2.1909,3.9096,1.3977,1.4497,0.052000000000000046,26.0
0,[H]B1C([H])=c2c(c3c([H])c4bc5c([H])c6c([H])c7c([H])c([H])c([H])c([H])c7c([H])c6c([H])c5bc4c([H])c3c3bc4c([H])c5c([H])c([H])c([H])c([H])c5c([H])c4c([H])c23)=C1[H],4,0,0,0,-5.266,-1.963,3.303,1.8398,1.9363,0.09649999999999981,37.0
0,[H]B1C([H])=C([H])C2=C1B([H])c1c(c3c(c4c([H])c5c(c([H])c14)C([H])=C5[H])B([H])c1c-3c3c([H])c([H])c([H])c([H])c3c3c([H])c4bc([H])c([H])bc4c([H])c13)B2[H],6,0,0,0,-5.8739,-2.3991,3.4748,1.7981,1.822,0.023900000000000032,32.0
